a,b,country_a,country_b,same_country,n_items,items,opposing
'Ndrina Pesce,Commisso 'ndrina,Italy,Italy,True,8,"[""'Ndrina Alvaro"", ""'Ndrina Cataldo"", ""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""'Ndrina Molè"", ""'Ndrina Piromalli"", ""Aquino 'ndrina"", 'Gulf Cartel']","[""'Ndrina Piromalli""]"
Cleveland crime family,Patriarca crime family,United States,United States,True,8,"['Bufalino crime family', 'Chicago Outfit', 'DeCavalcante crime family', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",[]
Chicago Outfit,DeCavalcante crime family,United States,United States,True,7,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Lucchese crime family', 'Patriarca crime family']",['Gambino crime family']
DeCavalcante crime family,Detroit Partnership,United States,United States,True,7,"['Bonanno crime family', 'Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Gambino crime family']
Detroit Partnership,Hells Angels Motorcycle Club,United States,United States,True,7,"['Bufalino crime family', 'Buffalo crime family', 'Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Patriarca crime family']",[]
Los Angeles crime family,Pittsburgh crime family,United States,United States,True,7,"['Bufalino crime family', 'Chicago Outfit', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Kansas City crime family', 'San Jose crime family']",['Cleveland crime family']
Bonanno crime family,Pittsburgh crime family,United States,United States,True,7,"['Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'Philadelphia crime family', 'Rochester crime family', 'San Jose crime family', 'Trafficante crime family']",['Genovese crime family']
'Ndrina Morabito,'Ndrina Pesce,Italy,Italy,True,6,"[""'Ndrina Cataldo"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina"", 'Basilischi', 'Clan dei Casalesi']",[]
'Ndrangheta,Mara Salvatrucha,Italy,United States,False,6,"['Big Circle Gang', 'Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Sinaloa Cartel', 'Tren de Aragua']",['Los Zetas']
Primeiro Comando da Capital,Sinaloa Cartel,Brazil,Mexico,False,6,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Hezbollah', 'Los Choneros', 'Revolutionary Armed Forces of Colombia', 'Yakuza']",['Cártel de Jalisco Nueva Generación']
Cleveland crime family,Outlaws Motorcycle Club,United States,United States,True,6,"['American Mafia', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
Cleveland crime family,Trafficante crime family,United States,United States,True,6,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
New Orleans crime family,Patriarca crime family,United States,United States,True,6,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Chicago Outfit']
Genovese crime family,San Jose crime family,United States,United States,True,6,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family', 'Pittsburgh crime family']",['Bonanno crime family']
Bufalino crime family,New Orleans crime family,United States,United States,True,6,"['Buffalo crime family', 'Cleveland crime family', 'Detroit Partnership', 'Genovese crime family', 'Los Angeles crime family', 'Philadelphia crime family']",['Genovese crime family']
Detroit Partnership,Kansas City crime family,United States,United States,True,6,"['Chicago Outfit', 'Cleveland crime family', 'Los Angeles crime family', 'New Orleans crime family', 'Pittsburgh crime family', 'St. Louis crime family']",[]
Genovese crime family,Kansas City crime family,United States,United States,True,6,"['Chicago Outfit', 'Cleveland crime family', 'Dallas crime family', 'Los Angeles crime family', 'New Orleans crime family', 'Pittsburgh crime family']",[]
'Ndrina Cataldo,Aquino 'ndrina,Italy,Italy,True,6,"[""'Ndrina Cordì"", ""'Ndrina Ierinò"", ""'Ndrina Lo Presti"", ""'Ndrina Morabito"", ""'Ndrina Pesce"", ""Commisso 'ndrina""]","[""'Ndrina Cordì""]"
Dallas crime family,Los Angeles crime family,United States,United States,True,6,"['Chicago Outfit', 'Genovese crime family', 'Kansas City crime family', 'New Orleans crime family', 'San Francisco crime family', 'San Jose crime family']",[]
Clan Russo dei Quartieri Spagnoli,Nuova Famiglia,Italy,Italy,True,5,"['Cesarano clan', 'Clan Fabbrocino', 'Clan Mazzarella', 'Clan Misso', 'Moccia clan']",['Clan Fabbrocino']
'Ndrangheta,Cali Cartel,Italy,Colombia,False,5,"['Big Circle Gang', 'Camorra', 'Cuntrera-Caruana Mafia clan', 'Gulf Cartel', 'Sinaloa Cartel']",[]
'Ndrangheta,Mexican Mafia,Italy,United States,False,5,"['American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",['Hells Angels Motorcycle Club']
'Ndrangheta,Oficina de Envigado,Italy,Colombia,False,5,"['American Mafia', 'Autodefensas Unidas de Colombia', 'Clan del Golfo', 'Los Zetas', 'Sinaloa Cartel']",['Clan del Golfo']
'Ndrangheta,West End Gang,Italy,Canada,False,5,"['American Mafia', 'Hells Angels Motorcycle Club', 'Rizzuto crime family', ""Satan's Choice Motorcycle Club"", 'Sinaloa Cartel']",[]
American Mafia,Cali Cartel,United States,Colombia,False,5,"['Big Circle Gang', 'Camorra', 'Martinez Familia Sangeros', 'Sinaloa Cartel', 'West End Gang']",[]
American Mafia,Cártel de Jalisco Nueva Generación,United States,Mexico,False,5,"[""'Ndrangheta"", 'Camorra', 'Sinaloa Cartel', 'Tren de Aragua', 'Yakuza']",['Sinaloa Cartel']
Autodefensas Unidas de Colombia,Los Zetas,Colombia,Mexico,False,5,"[""'Ndrangheta"", 'Cartel del Norte del Valle', 'Los Rastrojos', 'Oficina de Envigado', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cartel del Norte del Valle,Clan del Golfo,Colombia,Colombia,True,5,"['Cártel de Jalisco Nueva Generación', 'Los Cachiros', 'Los Rastrojos', 'Los Zetas', 'Sinaloa Cartel']",['Los Rastrojos']
Cartel del Norte del Valle,Oficina de Envigado,Colombia,Colombia,True,5,"['Autodefensas Unidas de Colombia', 'Los Pepes', 'Los Rastrojos', 'Los Zetas', 'Sinaloa Cartel']",[]
Cartel del Norte del Valle,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,5,"['Cártel de Jalisco Nueva Generación', 'Hezbollah', 'Los Rastrojos', 'Sinaloa Cartel', 'Tijuana Cartel']",['Los Rastrojos']
Hells Angels Motorcycle Club,Latin Kings,United States,United States,True,5,"['American Mafia', 'Diablos Motorcycle Club', 'Gambino crime family', 'Genovese crime family', 'Sinaloa Cartel']",['Diablos Motorcycle Club']
Latin Kings,Mexican Mafia,United States,United States,True,5,"['18th Street Gang', 'American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Sinaloa Cartel']",[]
Camorra,Clan del Golfo,Italy,Colombia,False,5,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Kinahan Organised Crime Group', 'Sicilian Mafia', 'Tren de Aragua']",['Tren de Aragua']
Cartel del Norte del Valle,Guerreros Unidos,Colombia,Mexico,False,5,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Los Zetas', 'Tijuana Cartel']",['Cártel de Jalisco Nueva Generación']
Gulf Cartel,Tren de Aragua,Mexico,Venezuela,False,5,"[""'Ndrangheta"", 'Camorra', 'Cártel de Jalisco Nueva Generación', 'La Línea', 'Mara Salvatrucha']",['Cártel de Jalisco Nueva Generación']
Martinez Familia Sangeros,Sinaloa Cartel,Puerto Rico,Mexico,False,5,"['American Mafia', 'Cali Cartel', 'Guadalajara Cartel', 'Gulf Cartel', 'Latin Kings']",['Gulf Cartel']
'Ndrina De Stefano,'Ndrina Morabito,Italy,Italy,True,5,"[""'Ndrina Cataldo"", ""'Ndrina Codispoti"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro"", 'Camorra']",[]
DeCavalcante crime family,Los Angeles crime family,United States,United States,True,5,"['Cleveland crime family', 'Colombo crime family', 'Gambino crime family', 'Genovese crime family', 'Patriarca crime family']",['Gambino crime family']
Detroit Partnership,Pagan's Motorcycle Club,United States,United States,True,5,"['Gambino crime family', 'Genovese crime family', 'Outlaws Motorcycle Club', 'Philadelphia crime family', 'Pittsburgh crime family']",['Outlaws Motorcycle Club']
Hells Angels Motorcycle Club,New Orleans crime family,United States,United States,True,5,"['Buffalo crime family', 'Cleveland crime family', 'Gambino crime family', 'Genovese crime family', 'Los Angeles crime family']",[]
Los Angeles crime family,Trafficante crime family,United States,United States,True,5,"['Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family', 'New Orleans crime family']",[]
Patriarca crime family,Trafficante crime family,United States,United States,True,5,"['Bonanno crime family', 'Chicago Outfit', 'Detroit Partnership', 'Gambino crime family', 'Genovese crime family']",[]
Gambino crime family,Sinaloa Cartel,United States,Mexico,False,5,"[""'Ndrangheta"", 'Crips', 'Hells Angels Motorcycle Club', 'Latin Kings', 'Mexican Mafia']",[]
Rizzuto crime family,Sinaloa Cartel,Canada,Mexico,False,5,"[""'Ndrangheta"", 'Hells Angels Motorcycle Club', 'Independent Soldiers', 'West End Gang', 'Wolfpack Alliance']",['Wolfpack Alliance']
Clan Cappello,Clan dei Casalesi,Italy,Italy,True,5,"[""'Ndrangheta"", ""'Ndrina Bellocco"", ""'Ndrina Giuliano"", 'Alfieri clan', 'Mallardo clan']",['Alfieri clan']
Bufalino crime family,DeCavalcante crime family,United States,United States,True,5,"['Cleveland crime family', 'Colombo crime family', 'Genovese crime family', 'Patriarca crime family', 'Philadelphia crime family']",['Genovese crime family']
Los Angeles crime family,St. Louis crime family,United States,United States,True,5,"['Chicago Outfit', 'Cleveland crime family', 'Colorado crime family', 'Detroit Partnership', 'Kansas City crime family']",[]
New Orleans crime family,St. Louis crime family,United States,United States,True,5,"['Chicago Outfit', 'Cleveland crime family', 'Colorado crime family', 'Detroit Partnership', 'Kansas City crime family']",['Chicago Outfit']
'Ndrina Cataldo,'Ndrina Mancuso,Italy,Italy,True,5,"[""'Ndrina Barbaro"", ""'Ndrina De Stefano"", ""'Ndrina Mazzaferro"", ""'Ndrina Morabito"", ""'Ndrina Pesce""]",[]
'Ndrina Molè,Aquino 'ndrina,Italy,Italy,True,5,"[""'Ndrina Alvaro"", ""'Ndrina Bellocco"", ""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""Commisso 'ndrina""]",[]
Patriarca crime family,Pittsburgh crime family,United States,United States,True,5,"['Bufalino crime family', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'Philadelphia crime family']",[]
Bonanno crime family,Dallas crime family,United States,United States,True,5,"['Chicago Outfit', 'Genovese crime family', 'San Francisco crime family', 'San Jose crime family', 'Trafficante crime family']",['Genovese crime family']
Dallas crime family,Pittsburgh crime family,United States,United States,True,5,"['Chicago Outfit', 'Genovese crime family', 'Kansas City crime family', 'San Jose crime family', 'Trafficante crime family']",[]
Dallas crime family,Detroit Partnership,United States,United States,True,5,"['Chicago Outfit', 'Genovese crime family', 'New Orleans crime family', 'San Francisco crime family', 'Trafficante crime family']",[]
Los Angeles crime family,Outlaws Motorcycle Club,United States,United States,True,5,"['Buffalo crime family', 'Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family']",['Buffalo crime family']
Lucchese crime family New Jersey faction,Patriarca crime family,United States,United States,True,5,"['Bonanno crime family', 'Colombo crime family', 'DeCavalcante crime family', 'Genovese crime family', 'Philadelphia crime family']",['Philadelphia crime family']
Outlaws Motorcycle Club,Trafficante crime family,United States,United States,True,5,"['Chicago Outfit', 'Detroit Partnership', 'Genovese crime family', 'New Orleans crime family', 'Pittsburgh crime family']",[]
Cleveland crime family,Colorado crime family,United States,United States,True,5,"['Chicago Outfit', 'Kansas City crime family', 'Los Angeles crime family', 'New Orleans crime family', 'St. Louis crime family']",[]
Colorado crime family,Detroit Partnership,United States,United States,True,5,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family', 'New Orleans crime family', 'St. Louis crime family']",[]
Detroit Partnership,San Jose crime family,United States,United States,True,5,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family', 'Pittsburgh crime family', 'San Francisco crime family']",[]
Genovese crime family,San Francisco crime family,United States,United States,True,5,"['Bonanno crime family', 'Chicago Outfit', 'Dallas crime family', 'Detroit Partnership', 'Los Angeles crime family']",['Bonanno crime family']
'Ndrina Lo Presti,'Ndrina Pesce,Italy,Italy,True,5,"[""'Ndrina Alvaro"", ""'Ndrina Cataldo"", ""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina""]",[]
'Ndrina Morabito,Commisso 'ndrina,Italy,Italy,True,5,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mandalari"", ""'Ndrina Mazzaferro"", ""Aquino 'ndrina""]",[]
'Ndrina De Stefano,'Ndrina Lo Presti,Italy,Italy,True,5,"[""'Ndrina Alvaro"", ""'Ndrina Cataldo"", ""'Ndrina Mazzaferro"", ""'Ndrina Tripodo"", ""'Ndrina Zito""]","[""'Ndrina Tripodo""]"
'Ndrangheta,Clan Nuvoletta,Italy,Italy,True,4,"['Clan Fabbrocino', 'Clan Licciardi', 'Clan dei Casalesi', 'Corleonesi']",['Clan dei Casalesi']
'Ndrangheta,Catania Mafia family,Italy,Italy,True,4,"['Camorra', 'Clan Mazzarella', 'Clan dei Casalesi', 'Corleonesi']",[]
'Ndrangheta,Mallardo clan,Italy,Italy,True,4,"['Clan Cappello', 'Clan Licciardi', 'Clan dei Casalesi', 'Polverino clan']",[]
'Ndrina Bellocco,'Ndrina Mancuso,Italy,Italy,True,4,"[""'Ndrina Pesce"", ""'Ndrina Piromalli"", ""'Ndrina Varone"", 'Clan dei Casalesi']","[""'Ndrina Pesce""]"
'Ndrina Giuliano,Mallardo clan,Italy,Italy,True,4,"['Clan Cappello', 'Clan Di Lauro', 'Clan Licciardi', 'Clan dei Casalesi']",['Clan Licciardi']
'Ndrangheta,Cartel del Norte del Valle,Italy,Colombia,False,4,"['Autodefensas Unidas de Colombia', 'Cártel de Jalisco Nueva Generación', 'Los Zetas', 'Sinaloa Cartel']",[]
'Ndrangheta,Hezbollah,Italy,Lebanon,False,4,"['Kinahan Organised Crime Group', 'Los Zetas', 'Primeiro Comando da Capital', 'Sinaloa Cartel']",[]
'Ndrangheta,Latin Kings,Italy,United States,False,4,"['American Mafia', 'Gambino crime family', 'Gulf Cartel', 'Sinaloa Cartel']",[]
'Ndrangheta,Los Rastrojos,Italy,Colombia,False,4,"['Autodefensas Unidas de Colombia', 'Clan del Golfo', 'Los Zetas', 'Sinaloa Cartel']",['Clan del Golfo']
'Ndrangheta,Revolutionary Armed Forces of Colombia,Italy,Colombia,False,4,"['Cártel de Jalisco Nueva Generación', 'ETA', 'Primeiro Comando da Capital', 'Sinaloa Cartel']",[]
'Ndrangheta,Yakuza,Italy,Japan,False,4,"['American Mafia', 'Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital', 'Sinaloa Cartel']",[]
American Mafia,Kinahan Organised Crime Group,United States,Ireland,False,4,"[""'Ndrangheta"", 'Camorra', 'Hells Angels Motorcycle Club', 'Sinaloa Cartel']",[]
American Mafia,Los Zetas,United States,Mexico,False,4,"[""'Ndrangheta"", 'Oficina de Envigado', 'Sicilian Mafia', 'Sinaloa Cartel']",['Sinaloa Cartel']
American Mafia,Mara Salvatrucha,United States,United States,True,4,"['Big Circle Gang', 'Mexican Mafia', 'Sinaloa Cartel', 'Tren de Aragua']",['Mexican Mafia']
Beltrán-Leyva Organization,Guadalajara Cartel,Mexico,Mexico,True,4,"['Cartel del Norte del Valle', 'Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",['Sinaloa Cartel']
Cali Cartel,La Familia Michoacana,Colombia,Mexico,False,4,"['Gulf Cartel', 'Juárez Cartel', 'Sinaloa Cartel', 'Tijuana Cartel']",['Gulf Cartel']
Cartel de Medellín,Cártel de Colima,Colombia,Mexico,False,4,"['Guadalajara Cartel', 'Milenio Cartel', 'Sinaloa Cartel', 'Sonora Cartel']",[]
Clan del Golfo,Hells Angels Motorcycle Club,Colombia,United States,False,4,"[""'Ndrangheta"", 'Brothers Keepers', 'Kinahan Organised Crime Group', 'Sinaloa Cartel']",[]
Cártel de Jalisco Nueva Generación,Hezbollah,Mexico,Lebanon,False,4,"['Cartel del Norte del Valle', 'Primeiro Comando da Capital', 'Revolutionary Armed Forces of Colombia', 'Sinaloa Cartel']",['Sinaloa Cartel']
Cártel de Jalisco Nueva Generación,Kinahan Organised Crime Group,Mexico,Ireland,False,4,"[""'Ndrangheta"", 'Camorra', 'Clan del Golfo', 'Sinaloa Cartel']",['Sinaloa Cartel']
Hezbollah,Los Rastrojos,Lebanon,Colombia,False,4,"['Cartel del Norte del Valle', 'Los Zetas', 'Revolutionary Armed Forces of Colombia', 'Sinaloa Cartel']",['Revolutionary Armed Forces of Colombia']
Hezbollah,Tijuana Cartel,Lebanon,Mexico,False,4,"['Cartel del Norte del Valle', 'Los Zetas', 'Revolutionary Armed Forces of Colombia', 'Sinaloa Cartel']",['Sinaloa Cartel']
Juárez Cartel,Sonora Cartel,Mexico,Mexico,True,4,"['Cali Cartel', 'Cartel de Medellín', 'Guadalajara Cartel', 'Sinaloa Cartel']",['Sinaloa Cartel']
Kinahan Organised Crime Group,Los Zetas,Ireland,Mexico,False,4,"[""'Ndrangheta"", 'Clan del Golfo', 'Hezbollah', 'Sinaloa Cartel']",['Sinaloa Cartel']
Los Cachiros,Los Zetas,Honduras,Mexico,False,4,"['Cartel del Norte del Valle', 'Clan del Golfo', 'Los Rastrojos', 'Sinaloa Cartel']",['Sinaloa Cartel']
Brothers Keepers,Sinaloa Cartel,Canada,Mexico,False,4,"['Clan del Golfo', 'Hells Angels Motorcycle Club', 'Independent Soldiers', 'Wolfpack Alliance']",['Wolfpack Alliance']
Ejército Revolucionario Popular Antisubversivo de Colombia,Sinaloa Cartel,Colombia,Mexico,False,4,"['Clan del Golfo', 'Los Rastrojos', 'Oficina de Envigado', 'Popular Liberation Army']",['Clan del Golfo']
'Ndrangheta,La Línea,Italy,Mexico,False,4,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Tren de Aragua']",[]
Clan del Golfo,Primeiro Comando da Capital,Colombia,Brazil,False,4,"[""'Ndrangheta"", 'Cártel de Jalisco Nueva Generación', 'Los Choneros', 'Tren de Aragua']",['Tren de Aragua']
La Línea,Mara Salvatrucha,Mexico,United States,False,4,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Los Zetas', 'Tren de Aragua']",['Los Zetas']
Cuntrera-Caruana Mafia clan,Hells Angels Motorcycle Club,Italy,United States,False,4,"[""'Ndrangheta"", 'Gambino crime family', 'Musitano crime family', 'Rizzuto crime family']",[]
Musitano crime family,Wolfpack Alliance,Canada,Canada,True,4,"['Hells Angels Motorcycle Club', 'Independent Soldiers', 'Rizzuto crime family', 'West End Gang']",['Independent Soldiers']
'Ndrangheta,Nuova Mala del Brenta,Italy,Italy,True,4,"['American Mafia', 'Camorra', 'Nuova Camorra Organizzata', 'Stidda']",[]
Armenian Power,Sinaloa Cartel,United States,Mexico,False,4,"['American Mafia', 'Los Cachiros', 'Mexican Mafia', 'Vineland Boys']",[]
Aryan Brotherhood,Cleveland crime family,United States,United States,True,4,"['American Mafia', 'Chicago Outfit', 'Gambino crime family', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Aryan Brotherhood,Pagan's Motorcycle Club,United States,United States,True,4,"['American Mafia', 'Gambino crime family', 'Philadelphia crime family', 'The Covenant, the Sword, and the Arm of the Lord']",[]
Big Circle Gang,Sinaloa Cartel,China,Mexico,False,4,"[""'Ndrangheta"", 'American Mafia', 'Cali Cartel', 'Mara Salvatrucha']",[]
Cleveland crime family,Mexican Mafia,United States,United States,True,4,"['American Mafia', 'Gambino crime family', 'Hells Angels Motorcycle Club', 'Los Angeles crime family']",['Hells Angels Motorcycle Club']
Cleveland crime family,Pagan's Motorcycle Club,United States,United States,True,4,"['American Mafia', 'Gambino crime family', 'Genovese crime family', 'Pittsburgh crime family']",['Pittsburgh crime family']
Hells Angels Motorcycle Club,Sicilian Mafia,United States,Italy,False,4,"[""'Ndrangheta"", 'American Mafia', 'Buffalo crime family', 'Gambino crime family']","[""'Ndrangheta""]"
Loners Motorcycle Club,Pagan's Motorcycle Club,Canada,United States,False,4,"['American Mafia', 'Mongols MC', 'Outlaws Motorcycle Club', 'Rock Machine Motorcycle Club']",['Outlaws Motorcycle Club']
Sacra Corona Unita,Sicilian Mafia,Italy,Italy,True,4,"[""'Ndrangheta"", 'American Mafia', 'Camorra', 'Polverino clan']","[""'Ndrangheta""]"
Clan Di Lauro,Commisso 'ndrina,Italy,Italy,True,4,"['Clan Licciardi', 'Contini clan', 'Mallardo clan', 'Secondigliano Alliance']",[]
American Mafia,Corleonesi,United States,Italy,False,4,"[""'Ndrangheta"", 'Camorra', 'Greco Mafia clan', 'Sicilian Mafia']",['Sicilian Mafia']
Banda della Magliana,Corleonesi,Italy,Italy,True,4,"[""'Ndrangheta"", 'Camorra', 'Clan Lubrano-Ligato', 'Sicilian Mafia']",['Sicilian Mafia']
Gambino crime family,Solntsevskaya Bratva,United States,Russia,False,4,"[""'Ndrangheta"", 'Cuntrera-Caruana Mafia clan', 'Genovese crime family', 'Sicilian Mafia']",['Genovese crime family']
Clan Cappello,Sacra Corona Unita,Italy,Italy,True,4,"[""'Ndrangheta"", ""'Ndrina Bellocco"", ""'Ndrina Pelle"", 'Camorra']",[]
Cali Cartel,Rizzuto crime family,Colombia,Canada,False,4,"['Big Circle Gang', 'Cuntrera-Caruana Mafia clan', 'Hells Angels MC Montreal chapter', 'West End Gang']",[]
Gambino crime family,Rizzuto crime family,United States,Canada,False,4,"[""'Ndrangheta"", 'Bonanno crime family', 'Cuntrera-Caruana Mafia clan', 'Hells Angels Motorcycle Club']",['Bonanno crime family']
American Mafia,Rizzuto crime family,United States,Canada,False,4,"[""'Ndrangheta"", 'Big Circle Gang', 'Hells Angels Motorcycle Club', 'West End Gang']",[]
Bonde do Maluco,Bonde dos 40,Brazil,Brazil,True,4,"['Guardiões do Estado', 'Primeiro Comando da Capital', 'Sindicato do Crime do Rio Grande do Norte', 'Terceiro Comando Puro']",['Primeiro Comando da Capital']
